,Unnamed: 0,text,alternative,right_answer,question_id,is_correct
0,0,"aumentar a concentração atmosférica de H2O, molécula capaz de absorver grande quantidade de calor.",A,,1,False
1,1,"remover moléculas orgânicas polares da atmosfera, diminuindo a capacidade delas de reter calor.",B,,1,False
2,2,reduzir o calor irradiado pela Terra mediante a substituição da produção primária pela industrialização refrigerada.,C,,1,True
3,3,"promover a queima da biomassa vegetal, responsável pelo aumento do efeito estufa devido à produção de CH4.",D,,1,False
4,4,"reduzir o desmatamento, mantendo-se, assim, o potencial da vegetação em absorver o CO2 da atmosfera.",E,,1,False
5,5,"pela promoção de um modo de vida saudável, que mostrava os jovens como exemplos a seguir.",A,,2,True
6,6,"pelo diálogo, ao organizar debates que opunham jovens idealistas e velhas lideranças conservadoras.",B,,2,False
7,7,pelos métodos políticos populistas e pela organização de comícios multitudinários.,C,,2,False
8,8,pelo sectarismo e pela forma violenta e radical com que enfrentavam os opositores ao regime.,D,,2,False
9,9,pelas propostas de conscientização da população acerca dos seus direitos como cidadãos.,E,,2,False
10,10,as áreas não-florestais ficam restritas a refúgios ecológicos devido à baixa adaptabilidade de espécies não-florestais a ambientes áridos.,A,,3,False
11,11,"grande parte da diversidade de espécies vegetais é reduzida, uma vez que necessitam de condições semelhantes a dos períodos interglaciais.",B,,3,False
12,12,"a vegetação comum ao cerrado deve ter se limitado a uma pequena região do centro do Brasil, da qual se expandiu até atingir a atual distribuição.",C,,3,False
13,13,"plantas com adaptações ao clima árido, como o desenvolvimento de estruturas que reduzem a perda de água, devem apresentar maior área de distribuição.",D,,3,True
14,14,"florestas tropicais como a amazônica apresentam distribuição geográfica mais ampla, uma vez que são densas e diminuem a ação da radiação solar sobre o solo e reduzem os efeitos da aridez.",E,,3,False
15,15,"a corrida armamentista, o terceiro-mundismo e o expansionismo soviético.",A,,4,True
16,16,"a Revolução Bolchevique, o imperialismo e a unificação da Alemanha.",B,,4,False
17,17,"a crise do colonialismo, a ascensão do nacionalismo e do totalitarismo.",C,,4,False
18,18,"o enfraquecimento do império britânico, a Grande Depressão e a corrida nuclear.",D,,4,False
19,19,"o declínio britânico, o fracasso da Liga das Nações e a Revolução Cubana.",E,,4,False
20,20,"significava a solução para os problemas econômicos, uma vez que os faraós sacrificavam aos deuses suas riquezas, construindo templos.",A,,5,True
21,21,"representava a possibilidade de o faraó ordenar a sociedade, obrigando os desocupados a trabalharem em obras públicas, que engrandeceram o próprio Egito.",B,,5,False
22,22,"significava um peso para a população egípcia, que condenava o luxo faraônico e a religião baseada em crenças e superstições.",C,,5,False
23,23,"significava, entre outros aspectos, o poder que os faraós tinham para escravizar grandes contingentes populacionais que trabalhavam nesses monumentos.",D,,5,False
24,24,representava para as populações do alto Egito a possibilidade de migrar para o sul e encontrar trabalho nos canteiros faraônicos.,E,,5,False
25,25,"impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, pois a qualidade de vida e as tecnologias encontradas nos centros urbanos são prescindíveis às populações rurais.",A,,6,False
26,26,"impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, promovendo a migração das populações rurais para os centros urbanos, onde a qualidade de vida é melhor.",B,,6,False
27,27,"permitir a abertura e a pavimentação de rodovias apenas em áreas rurais produtivas, haja vista que nas demais áreas o retorno financeiro necessário para produzir uma melhoria na qualidade de vida da região não é garantido.",C,,6,False
28,28,"permitir a abertura e a pavimentação de rodovias, desde que comprovada a sua real necessidade e após a realização de estudos que demonstrem ser possível contornar ou compensar seus impactos ambientais.",D,,6,True
29,29,"permitir a abertura e a pavimentação de rodovias, haja vista que os impactos ao meio ambiente são temporários e podem ser facilmente revertidos com as tecnologias existentes para recuperação de áreas degradadas.",E,,6,False
30,30,o consumo não renovável de toda água que passa pelas turbinas.,A,,7,False
31,31,"o aprofundamento no leito do rio, com a menor deposição de resíduos no trecho de rio anterior à represa.",B,,7,True
32,32,a poluição da água por metais da usina.,C,,7,False
33,33,a destruição do habitat de animais terrestres.,D,,7,False
34,34,o aumento expressivo na liberação de CO2 para a atmosfera.,E,,7,False
35,35,União Europeia.,A,,8,True
36,36,Convenção de Ramsar.,B,,8,False
37,37,Conferência de Estocolmo.,C,,8,False
38,38,Cortina de Ferro.,D,,8,False
39,39,Muro de Berlim.,E,,8,False
40,40,o palácio de Versalhes.,A,,9,True
41,41,o Museu Britânico.,B,,9,False
42,42,a catedral de Colônia.,C,,9,False
43,43,a Casa Branca.,D,,9,False
44,44,a pirâmide do faraó Quéops.,E,,9,False
45,45,"criar nas cidades, especialmente naquelas com mais de 100 mil habitantes, pontos estratégicos de coleta de baterias e pilhas, para posterior repasse a fabricantes e/ou importadores.",A,,10,False
46,46,"exigir que fabricantes invistam em pesquisa para a substituição desses metais tóxicos por substâncias menos nocivas ao homem e ao ambiente, e que não sejam bioacumulativas.",B,,10,False
47,47,deixar de consumir aparelhos elétricos que utilizem pilha ou bateria como fonte de energia.,C,,10,False
48,48,"usar apenas pilhas ou baterias recarregáveis e de vida útil longa e evitar ingerir alimentos contaminados, especialmente peixes.",D,,10,False
49,49,"devolver pilhas e baterias, após o esgotamento da energia armazenada, à rede de assistência técnica especializada para repasse a fabricantes e/ou importadores.",E,,10,True
50,50,"resultaram no fortalecimento do conservadorismo político, social e religioso que prevaleceu nos países ocidentais durante as décadas de 70 e 80.",A,,11,False
51,51,"tiveram baixa repercussão no plano político, apesar de seus fortes desdobramentos nos planos social e cultural, expressos na mudança de costumes e na contracultura.",B,,11,False
52,52,"inspiraram futuras mobilizações, como o pacifismo, o ambientalismo, a promoção da equidade de gêneros e a defesa dos direitos das minorias.",C,,11,False
53,53,"foram manifestações desprovidas de conotação política, que tinham o objetivo de questionar a rigidez dos padrões de comportamento social fundados em valores tradicionais da moral religiosa.",D,,11,False
54,54,"restringiram-se às sociedades de países desenvolvidos, onde a industrialização avançada, a penetração dos meios de comunicação de massa e a alienação cultural que deles resultava eram mais evidentes.",E,,11,True
55,55,a floresta não possui organismos decompositores.,A,,12,False
56,56,o potencial econômico da floresta deve ser explorado.,B,,12,False
57,57,o homem branco convive harmonicamente com urihi.,C,,12,False
58,58,as folhas e a água são menos importantes para a floresta que seu sopro vital.,D,,12,False
59,59,Wixia é a capacidade que tem a floresta de se sustentar por meio de processos vitais.,E,,12,True
60,60,"a umidade relativa do ar indica, em termos absolutos, a quantidade de vapor de água existente na atmosfera.",A,,13,True
61,61,"a variação da umidade do ar se verifica no verão, e não no inverno, quando as temperaturas permanecem baixas.",B,,13,False
62,62,a insolação é um fator que provoca variação da umidade relativa do ar.,C,,13,False
63,63,o ar vai adquirindo maior quantidade de vapor de água à medida que se aquece.,D,,13,False
64,64,a presença de umidade relativa do ar é diretamente proporcional à temperatura do ar.,E,,13,False
65,65,a luta dos negros sul-africanos contra o apartheid inspirada por valores dos primeiros cristãos.,A,,14,True
66,66,"o fortalecimento político de Napoleão Bonaparte, que se justificava na amplitude de poderes que tivera Carlos Magno.",B,,14,False
67,67,"a tradição heroica da cavalaria medieval, que foi afetada negativamente pelas produções cinematográficas de Hollywood.",C,,14,False
68,68,a associação que Hitler estabeleceu entre o III Reich e o Sacro Império Romano Germânico.,D,,14,False
69,69,"o retorno dos valores cristãos medievais, presentes nos documentos do Concílio Vaticano II.",E,,14,False
70,70,"buscavam o êxito, descurando as virtudes cívicas.",A,,15,False
71,71,tinham na vida moral uma garantia de enriquecimento rápido.,B,,15,False
72,72,valorizavam um conceito de honra dissociado do comportamento ético.,C,,15,False
73,73,relacionavam a conduta moral dos indivíduos com o progresso econômico.,D,,15,True
74,74,acreditavam que o comportamento casto perturbava a harmonia doméstica.,E,,15,False
75,75,"tinha profundas conexões com a justiça, razão pela qual o tempo livre dos cidadãos deveria ser dedicado às atividades vinculadas aos tribunais.",A,,16,False
76,76,"vivida pelos atenienses era, de fato, restrita àqueles que se dedicavam à política e que tinham tempo para resolver os problemas da cidade.",B,,16,True
77,77,"possui uma dimensão histórica que deve ser criticada, pois é condenável que os políticos de qualquer época fiquem entregues à ociosidade, enquanto o resto dos cidadãos tem de trabalhar.",C,,16,False
78,78,"era entendida como uma dignidade própria dos grupos sociais superiores, fruto de uma concepção política profundamente hierarquizada da sociedade.",D,,16,False
79,79,"estava vinculada, na Grécia Antiga, a uma percepção política democrática, que levava todos os habitantes da pólis a participarem da vida cívica.",E,,16,False
80,80,"Brasil, glória no passado, grandeza no presente.",A,,17,False
81,81,"Brasil, terra bela, pátria grande.",B,,17,True
82,82,"Brasil, gigante pela própria natureza.",C,,17,False
83,83,"Brasil, um país que vai pra frente.",D,,17,False
84,84,"Brasil, a eterna esperança.",E,,17,False
85,85,a Constituição de 1934 avançou ao reduzir a idade mínima para votar.,A,,18,False
86,86,"a Constituição de 1891, ao se referir a cidadãos, referia-se também às mulheres.",B,,18,False
87,87,os textos de ambas as Cartas permitiam que qualquer cidadão fosse eleitor.,C,,18,False
88,88,o texto da carta de 1891 já permitia o voto feminino.,D,,18,False
89,89,a Constituição de 1891 considerava eleitores apenas indivíduos do sexo masculino.,E,,18,True
