,id,text,question_id,is_correct,has_image_alt,alternative,answer_image
0,1,"aumentar a concentração atmosférica de H2O, molécula capaz de absorver grande quantidade de calor.",1,0,0,a,
1,2,"remover moléculas orgânicas polares da atmosfera, diminuindo a capacidade delas de reter calor.",1,0,0,b,
2,3,reduzir o calor irradiado pela Terra mediante a substituição da produção primária pela industrialização refrigerada.,1,1,0,c,
3,4,"promover a queima da biomassa vegetal, responsável pelo aumento do efeito estufa devido à produção de CH4.",1,0,0,d,
4,5,"reduzir o desmatamento, mantendo-se, assim, o potencial da vegetação em absorver o CO2 da atmosfera.",1,0,0,e,
5,6,"pela promoção de um modo de vida saudável, que mostrava os jovens como exemplos a seguir.",2,1,0,a,
6,7,"pelo diálogo, ao organizar debates que opunham jovens idealistas e velhas lideranças conservadoras.",2,0,0,b,
7,8,pelos métodos políticos populistas e pela organização de comícios multitudinários.,2,0,0,c,
8,9,pelo sectarismo e pela forma violenta e radical com que enfrentavam os opositores ao regime.,2,0,0,d,
9,10,pelas propostas de conscientização da população acerca dos seus direitos como cidadãos.,2,0,0,e,
10,11,as áreas não-florestais ficam restritas a refúgios ecológicos devido à baixa adaptabilidade de espécies não-florestais a ambientes áridos.,3,0,0,a,
11,12,"grande parte da diversidade de espécies vegetais é reduzida, uma vez que necessitam de condições semelhantes a dos períodos interglaciais.",3,0,0,b,
12,13,"a vegetação comum ao cerrado deve ter se limitado a uma pequena região do centro do Brasil, da qual se expandiu até atingir a atual distribuição.",3,0,0,c,
13,14,"plantas com adaptações ao clima árido, como o desenvolvimento de estruturas que reduzem a perda de água, devem apresentar maior área de distribuição.",3,1,0,d,
14,15,"florestas tropicais como a amazônica apresentam distribuição geográfica mais ampla, uma vez que são densas e diminuem a ação da radiação solar sobre o solo e reduzem os efeitos da aridez.",3,0,0,e,
15,16,"a corrida armamentista, o terceiro-mundismo e o expansionismo soviético.",4,1,0,a,
16,17,"a Revolução Bolchevique, o imperialismo e a unificação da Alemanha.",4,0,0,b,
17,18,"a crise do colonialismo, a ascensão do nacionalismo e do totalitarismo.",4,0,0,c,
18,19,"o enfraquecimento do império britânico, a Grande Depressão e a corrida nuclear.",4,0,0,d,
19,20,"o declínio britânico, o fracasso da Liga das Nações e a Revolução Cubana.",4,0,0,e,
20,21,"significava a solução para os problemas econômicos, uma vez que os faraós sacrificavam aos deuses suas riquezas, construindo templos.",5,1,0,a,
21,22,"representava a possibilidade de o faraó ordenar a sociedade, obrigando os desocupados a trabalharem em obras públicas, que engrandeceram o próprio Egito.",5,0,0,b,
22,23,"significava um peso para a população egípcia, que condenava o luxo faraônico e a religião baseada em crenças e superstições.",5,0,0,c,
23,24,"significava, entre outros aspectos, o poder que os faraós tinham para escravizar grandes contingentes populacionais que trabalhavam nesses monumentos.",5,0,0,d,
24,25,representava para as populações do alto Egito a possibilidade de migrar para o sul e encontrar trabalho nos canteiros faraônicos.,5,0,0,e,
25,26,"impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, pois a qualidade de vida e as tecnologias encontradas nos centros urbanos são prescindíveis às populações rurais.",6,0,0,a,
26,27,"impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, promovendo a migração das populações rurais para os centros urbanos, onde a qualidade de vida é melhor.",6,0,0,b,
27,28,"permitir a abertura e a pavimentação de rodovias apenas em áreas rurais produtivas, haja vista que nas demais áreas o retorno financeiro necessário para produzir uma melhoria na qualidade de vida da região não é garantido.",6,0,0,c,
28,29,"permitir a abertura e a pavimentação de rodovias, desde que comprovada a sua real necessidade e após a realização de estudos que demonstrem ser possível contornar ou compensar seus impactos ambientais.",6,1,0,d,
29,30,"permitir a abertura e a pavimentação de rodovias, haja vista que os impactos ao meio ambiente são temporários e podem ser facilmente revertidos com as tecnologias existentes para recuperação de áreas degradadas.",6,0,0,e,
30,31,o consumo não renovável de toda água que passa pelas turbinas.,7,0,0,a,
31,32,"o aprofundamento no leito do rio, com a menor deposição de resíduos no trecho de rio anterior à represa.",7,1,0,b,
32,33,a poluição da água por metais da usina.,7,0,0,c,
33,34,a destruição do habitat de animais terrestres.,7,0,0,d,
34,35,o aumento expressivo na liberação de CO2 para a atmosfera.,7,0,0,e,
35,36,União Europeia.,8,1,0,a,
36,37,Convenção de Ramsar.,8,0,0,b,
37,38,Conferência de Estocolmo.,8,0,0,c,
38,39,Cortina de Ferro.,8,0,0,d,
39,40,Muro de Berlim.,8,0,0,e,
40,41,o palácio de Versalhes.,9,1,0,a,
41,42,o Museu Britânico.,9,0,0,b,
42,43,a catedral de Colônia.,9,0,0,c,
43,44,a Casa Branca.,9,0,0,d,
44,45,a pirâmide do faraó Quéops.,9,0,0,e,
45,46,"criar nas cidades, especialmente naquelas com mais de 100 mil habitantes, pontos estratégicos de coleta de baterias e pilhas, para posterior repasse a fabricantes e/ou importadores.",10,0,0,a,
46,47,"exigir que fabricantes invistam em pesquisa para a substituição desses metais tóxicos por substâncias menos nocivas ao homem e ao ambiente, e que não sejam bioacumulativas.",10,0,0,b,
47,48,deixar de consumir aparelhos elétricos que utilizem pilha ou bateria como fonte de energia.,10,0,0,c,
48,49,"usar apenas pilhas ou baterias recarregáveis e de vida útil longa e evitar ingerir alimentos contaminados, especialmente peixes.",10,0,0,d,
49,50,"devolver pilhas e baterias, após o esgotamento da energia armazenada, à rede de assistência técnica especializada para repasse a fabricantes e/ou importadores.",10,1,0,e,
50,51,"resultaram no fortalecimento do conservadorismo político, social e religioso que prevaleceu nos países ocidentais durante as décadas de 70 e 80.",11,0,0,a,
51,52,"tiveram baixa repercussão no plano político, apesar de seus fortes desdobramentos nos planos social e cultural, expressos na mudança de costumes e na contracultura.",11,0,0,b,
52,53,"inspiraram futuras mobilizações, como o pacifismo, o ambientalismo, a promoção da equidade de gêneros e a defesa dos direitos das minorias.",11,0,0,c,
53,54,"foram manifestações desprovidas de conotação política, que tinham o objetivo de questionar a rigidez dos padrões de comportamento social fundados em valores tradicionais da moral religiosa.",11,0,0,d,
54,55,"restringiram-se às sociedades de países desenvolvidos, onde a industrialização avançada, a penetração dos meios de comunicação de massa e a alienação cultural que deles resultava eram mais evidentes.",11,1,0,e,
55,56,a floresta não possui organismos decompositores.,12,0,0,a,
56,57,o potencial econômico da floresta deve ser explorado.,12,0,0,b,
57,58,o homem branco convive harmonicamente com urihi.,12,0,0,c,
58,59,as folhas e a água são menos importantes para a floresta que seu sopro vital.,12,0,0,d,
59,60,Wixia é a capacidade que tem a floresta de se sustentar por meio de processos vitais.,12,1,0,e,
60,61,"a umidade relativa do ar indica, em termos absolutos, a quantidade de vapor de água existente na atmosfera.",13,1,0,a,
61,62,"a variação da umidade do ar se verifica no verão, e não no inverno, quando as temperaturas permanecem baixas.",13,0,0,b,
62,63,a insolação é um fator que provoca variação da umidade relativa do ar.,13,0,0,c,
63,64,o ar vai adquirindo maior quantidade de vapor de água à medida que se aquece.,13,0,0,d,
64,65,a presença de umidade relativa do ar é diretamente proporcional à temperatura do ar.,13,0,0,e,
65,66,a luta dos negros sul-africanos contra o apartheid inspirada por valores dos primeiros cristãos.,14,1,0,a,
66,67,"o fortalecimento político de Napoleão Bonaparte, que se justificava na amplitude de poderes que tivera Carlos Magno.",14,0,0,b,
67,68,"a tradição heroica da cavalaria medieval, que foi afetada negativamente pelas produções cinematográficas de Hollywood.",14,0,0,c,
68,69,a associação que Hitler estabeleceu entre o III Reich e o Sacro Império Romano Germânico.,14,0,0,d,
