,text,question_id,is_correct,has_image_alt,alternative,answer_image
0,"aumentar a concentração atmosférica de H2O, molécula capaz de absorver grande quantidade de calor.",1,0,0,a,
1,"remover moléculas orgânicas polares da atmosfera, diminuindo a capacidade delas de reter calor.",1,0,0,b,
2,reduzir o calor irradiado pela Terra mediante a substituição da produção primária pela industrialização refrigerada.,1,1,0,c,
3,"promover a queima da biomassa vegetal, responsável pelo aumento do efeito estufa devido à produção de CH4.",1,0,0,d,
4,"reduzir o desmatamento, mantendo-se, assim, o potencial da vegetação em absorver o CO2 da atmosfera.",1,0,0,e,
5,"pela promoção de um modo de vida saudável, que mostrava os jovens como exemplos a seguir.",2,1,0,a,
6,"pelo diálogo, ao organizar debates que opunham jovens idealistas e velhas lideranças conservadoras.",2,0,0,b,
7,pelos métodos políticos populistas e pela organização de comícios multitudinários.,2,0,0,c,
8,pelo sectarismo e pela forma violenta e radical com que enfrentavam os opositores ao regime.,2,0,0,d,
9,pelas propostas de conscientização da população acerca dos seus direitos como cidadãos.,2,0,0,e,
10,as áreas não-florestais ficam restritas a refúgios ecológicos devido à baixa adaptabilidade de espécies não-florestais a ambientes áridos.,3,0,0,a,
11,"grande parte da diversidade de espécies vegetais é reduzida, uma vez que necessitam de condições semelhantes a dos períodos interglaciais.",3,0,0,b,
12,"a vegetação comum ao cerrado deve ter se limitado a uma pequena região do centro do Brasil, da qual se expandiu até atingir a atual distribuição.",3,0,0,c,
13,"plantas com adaptações ao clima árido, como o desenvolvimento de estruturas que reduzem a perda de água, devem apresentar maior área de distribuição.",3,1,0,d,
14,"florestas tropicais como a amazônica apresentam distribuição geográfica mais ampla, uma vez que são densas e diminuem a ação da radiação solar sobre o solo e reduzem os efeitos da aridez.",3,0,0,e,
15,"a corrida armamentista, o terceiro-mundismo e o expansionismo soviético.",4,1,0,a,
16,"a Revolução Bolchevique, o imperialismo e a unificação da Alemanha.",4,0,0,b,
17,"a crise do colonialismo, a ascensão do nacionalismo e do totalitarismo.",4,0,0,c,
18,"o enfraquecimento do império britânico, a Grande Depressão e a corrida nuclear.",4,0,0,d,
19,"o declínio britânico, o fracasso da Liga das Nações e a Revolução Cubana.",4,0,0,e,
20,"significava a solução para os problemas econômicos, uma vez que os faraós sacrificavam aos deuses suas riquezas, construindo templos.",5,1,0,a,
21,"representava a possibilidade de o faraó ordenar a sociedade, obrigando os desocupados a trabalharem em obras públicas, que engrandeceram o próprio Egito.",5,0,0,b,
22,"significava um peso para a população egípcia, que condenava o luxo faraônico e a religião baseada em crenças e superstições.",5,0,0,c,
23,"significava, entre outros aspectos, o poder que os faraós tinham para escravizar grandes contingentes populacionais que trabalhavam nesses monumentos.",5,0,0,d,
24,representava para as populações do alto Egito a possibilidade de migrar para o sul e encontrar trabalho nos canteiros faraônicos.,5,0,0,e,
25,"impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, pois a qualidade de vida e as tecnologias encontradas nos centros urbanos são prescindíveis às populações rurais.",6,0,0,a,
26,"impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, promovendo a migração das populações rurais para os centros urbanos, onde a qualidade de vida é melhor.",6,0,0,b,
27,"permitir a abertura e a pavimentação de rodovias apenas em áreas rurais produtivas, haja vista que nas demais áreas o retorno financeiro necessário para produzir uma melhoria na qualidade de vida da região não é garantido.",6,0,0,c,
28,"permitir a abertura e a pavimentação de rodovias, desde que comprovada a sua real necessidade e após a realização de estudos que demonstrem ser possível contornar ou compensar seus impactos ambientais.",6,1,0,d,
29,"permitir a abertura e a pavimentação de rodovias, haja vista que os impactos ao meio ambiente são temporários e podem ser facilmente revertidos com as tecnologias existentes para recuperação de áreas degradadas.",6,0,0,e,
30,o consumo não renovável de toda água que passa pelas turbinas.,7,0,0,a,
31,"o aprofundamento no leito do rio, com a menor deposição de resíduos no trecho de rio anterior à represa.",7,1,0,b,
32,a poluição da água por metais da usina.,7,0,0,c,
33,a destruição do habitat de animais terrestres.,7,0,0,d,
34,o aumento expressivo na liberação de CO2 para a atmosfera.,7,0,0,e,
35,União Europeia.,8,1,0,a,
36,Convenção de Ramsar.,8,0,0,b,
37,Conferência de Estocolmo.,8,0,0,c,
38,Cortina de Ferro.,8,0,0,d,
39,Muro de Berlim.,8,0,0,e,
40,o palácio de Versalhes.,9,1,0,a,
41,o Museu Britânico.,9,0,0,b,
42,a catedral de Colônia.,9,0,0,c,
43,a Casa Branca.,9,0,0,d,
44,a pirâmide do faraó Quéops.,9,0,0,e,
45,"criar nas cidades, especialmente naquelas com mais de 100 mil habitantes, pontos estratégicos de coleta de baterias e pilhas, para posterior repasse a fabricantes e/ou importadores.",10,0,0,a,
46,"exigir que fabricantes invistam em pesquisa para a substituição desses metais tóxicos por substâncias menos nocivas ao homem e ao ambiente, e que não sejam bioacumulativas.",10,0,0,b,
47,deixar de consumir aparelhos elétricos que utilizem pilha ou bateria como fonte de energia.,10,0,0,c,
48,"usar apenas pilhas ou baterias recarregáveis e de vida útil longa e evitar ingerir alimentos contaminados, especialmente peixes.",10,0,0,d,
49,"devolver pilhas e baterias, após o esgotamento da energia armazenada, à rede de assistência técnica especializada para repasse a fabricantes e/ou importadores.",10,1,0,e,
50,"resultaram no fortalecimento do conservadorismo político, social e religioso que prevaleceu nos países ocidentais durante as décadas de 70 e 80.",11,0,0,a,
