,question_cod,question,all_alternatives,correct_alt,year,context,wrong_correct,correct_alternative,wrong_alternative
6,Q9673,"Com relação às ideias do texto CB2A1AAA, julgue os itens a seguir.
O texto confirma que a mídia desmonta uma lógica naturalizada segundo a qual a aplicação das leis varia em razão da vontade de uma minoria.",Errado | Certo,e,2018,,2,Certo,Errado
7,Q9674,"Com relação aos sentidos e aos aspectos gramaticais do texto apresentado, julgue os itens a seguir.
A substituição de “teremos conquistado"" (R.10) por conquistaremos manteria os sentidos originais do texto.",Errado | Certo,e,2018,,2,Certo,Errado
8,Q10252,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
O vocábulo “os” (R.27) remete a “sinônimos” (R.26)",Errado | Certo,c,2018,,2,Certo,Errado
9,Q10253,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
O autor emprega a expressão “De resto” (R.17) para se referir a outros homens além dos “maridos que matavam as esposas adúlteras” (R. 15 e 16) e dos “noivos que matam as ex-noivas” (R.16).",Errado | Certo,e,2018,,2,Certo,Errado
10,Q10254,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
A ideia principal do último parágrafo do texto é a de que as mulheres não devem ser penalizadas em razão das decisões que tomam a respeito de seus sentimentos.",Errado | Certo,e,2018,,2,Certo,Errado
11,Q10270,"Com relação às ideias e aos aspectos linguísticos do texto CB4A1AAA, julgue o item a seguir.O vocábulo “antes” (R.19) indica, no contexto em que se insere, circunstância temporal.",Errado | Certo,e,2018,,2,Certo,Errado
12,Q10272,"Com relação aos sentidos e aos aspectos gramaticais do texto CB4A1BBB, julgue o item que se seguem.A forma verbal “passara” (R.5) denota um fato ocorrido antes de duas outras ações também já concluídas, as quais são descritas nos dois períodos imediatamente anteriores ao período em que ela se insere.",Errado | Certo,e,2018,,2,Certo,Errado
13,Q10335,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue os itens que se seguem.
Feitos os devidos ajustes de pontuação, a retirada do trecho “Eles, não” (R.13) manteria o sentido geral do texto, porém reduziria a ênfase com a qual o autor se refere à crueldade dos “noivos assassinos” (R. 9 e 10).",Errado | Certo,c,2018,,2,Certo,Errado
14,Q10337,"Julgue o iten a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
O texto classifica-se como poema em prosa, dada a predominância de um olhar lírico sobre o tema tratado e da linguagem figurada.",Errado | Certo,c,2018,,2,Certo,Errado
15,Q10366,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.

A substituição da expressão “Olhei com mais atenção"" (R.30) por Atentei-me para manteria o sentido geral e a correção gramatical do trecho original.",Errado | Certo,e,2018,,2,Certo,Errado
16,Q10373,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.O texto classifica-se como poema em prosa, dada a predominância de um olhar lírico sobre o tema tratado e da linguagem figurada.",Errado | Certo,c,2018,,2,Certo,Errado
17,Q10380,"Com relação aos sentidos e aos aspectos gramaticais do texto CB4A1BBB, julgue o item que se segue.
Ao narrar a história do macaco Alemão e ao comentar a vida dos tigres-de-bengala nascidos em cativeiro, a autora remete à perspectiva de visitar zoológicos que ela classifica como “sem inocência” (R.19).",Errado | Certo,c,2018,,2,Certo,Errado
18,Q10387,"Julgue os itens a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
O texto classifica-se como poema em prosa, dada a predominância de um olhar lírico sobre o tema tratado e da linguagem figurada.",Errado | Certo,c,2018,,2,Certo,Errado
19,Q10393,"Julgue os itens a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.

A substituição da expressão “Olhei com mais atenção"" (R.30) por Atentei-me para manteria o sentido geral e a correção gramatical do trecho original.",Errado | Certo,e,2018,,2,Certo,Errado
20,Q10399,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.

Mantendo-se a correção gramatical e os sentidos originais do texto, a forma verbal “deseje"" (R.18) poderia ser substituída por aspire a.",Errado | Certo,c,2018,,2,Certo,Errado
24,Q12204,"Com relação aos sentidos e aos aspectos gramaticais do texto apresentado, julgue os itens a seguir.Os dois-pontos empregados na linha 4 introduzem um aposto.",Errado | Certo,c,2018,,2,Certo,Errado
25,Q12364,"A respeito dos aspectos linguísticos do texto CB4A1AAA, julgue o próximo item.
A correção gramatical do texto seria mantida caso se empregasse o acento indicativo de crase no vocábulo “a” em “a esse estado de coisas” (R.17).",Errado | Certo,e,2018,,2,Certo,Errado
26,Q12374,"Com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, julgue o próximo item.Seria mantido o sentido do texto caso o trecho “que proíbem que uns prejudiquem aos outros” (R. 12 e 13) fosse reescrito da seguinte forma: o que impossibilita que uns e outros se prejudiquem.",Errado | Certo,e,2018,,2,Certo,Errado
27,Q12380,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.
O trecho “juízes, promotores e advogados” (R. 25 e 26) explica o sentido de “nós” (R.25).",Errado | Certo,c,2018,,2,Certo,Errado
28,Q12397,"Julgue o seguinte item, relativo aos sentidos e às ideias do texto CB4A1AAA.
A expressão “estado de coisas” (R.17) refere-se a “situações de justiça social” (R.16).",Errado | Certo,c,2018,,2,Certo,Errado
29,Q12407,"Com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, julgue o próximo item.
Seria mantida a coerência do texto se o trecho “a partir das"" (R.8) fosse substituído ou por com base nas ou por desde as, embora essas duas expressões tenham sentidos distintos.",Errado | Certo,c,2018,,2,Certo,Errado
30,Q12410,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.
Infere-se do primeiro parágrafo que, para a autora, escrever foi uma espécie de processo terapêutico.",Errado | Certo,c,2018,,2,Certo,Errado
31,Q12417,"A respeito dos aspectos linguísticos do texto CB4A1AAA, julgue o próximo item.O sujeito da forma verbal “têm” (R.16) está elíptico e retoma “cada um desses autores” (R.14).",Errado | Certo,e,2018,,2,Certo,Errado
32,Q12424,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.
A alteração da forma verbal “deixavam"" (R.11) para o singular — deixava — não comprometeria a correção gramatical do período em que tal forma aparece, mas modificaria seu sentido original.",Errado | Certo,c,2018,,2,Certo,Errado
33,Q12425,"Com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, julgue o próximo item.No primeiro parágrafo, os parênteses foram empregados para isolar palavras cuja função é explicar o sentido do elemento que imediatamente lhes antecede.",Errado | Certo,e,2018,,2,Certo,Errado
34,Q12721,"Julgue o seguinte item, com relação aos aspectos gramaticais do texto CB1A1AAA.

No contexto em que ocorre, a conjunção “E"" (R.32) possui sentido adversativo, podendo ser substituída, sem prejuízo para os sentidos do texto, pela conjunção mas.",Errado | Certo,e,2018,,2,Certo,Errado
35,Q12722,"Julgue o seguinte item, com relação aos aspectos gramaticais do texto CB1A1AAA.

A substituição da locução verbal “terá mudado"" (R.15) pela forma verbal mudou manteria a correção gramatical do texto, mas alteraria o sentido do período.",Errado | Certo,e,2018,,2,Certo,Errado
36,Q12723,"Considerando as ideias e os aspectos linguísticos do texto CB1A1BBB, julgue o item que se segue.
O autor emprega, no terceiro parágrafo, expressões de caráter ordenador que fazem referência ao próprio texto.",Errado | Certo,c,2018,,2,Certo,Errado
37,Q12724,"Considerando as ideias expressas no texto CB1A1AAA e a sua tipologia, julgue o item a seguir.
Segundo o texto, é problema central na formação de professores a escassez de recursos financeiros dedicados a cursos que promovam a formação continuada.",Errado | Certo,e,2018,,2,Certo,Errado
38,Q13066,"Considerando as ideias e os aspectos linguísticos do texto precedente, julgue o item a seguir.
O emprego das aspas em “dia D” (R.1) justifica-se porque a expressão, originada do campo lexical militar, está empregada no texto em sentido mais amplo, significando uma data especial e muito aguardada.",Errado | Certo,c,2018,,2,Certo,Errado
39,Q13067,"No que se refere ao texto precedente e às ideias nele veiculadas, julgue o item subsequente.
O texto é um artigo de opinião no qual o autor discute o baixo envolvimento do brasileiro com a leitura em oposição ao que ocorre na França e na Finlândia.",Errado | Certo,e,2018,,2,Certo,Errado
40,Q13068,"No que se refere ao texto precedente, julgue o item que se segue.
A ideia principal do texto é a relação entre sofrimento e felicidade: as botas apertadas representam a dor, o sofrimento; descalçá-las representa o prazer, a “felicidade terrestre” (R.12).",Errado | Certo,c,2018,,2,Certo,Errado
41,Q13073,"Com relação aos textos 11A3BBB e 11A3CCC, julgue o próximo item.Considerando-se os gêneros dos textos e as variedades da língua portuguesa, estaria adequado o emprego da próclise em “Parece-me” (R.25 do texto 11A3CCC), assim como está adequado seu emprego em “Me lembre” (R.9 do texto 11A3BBB).",Errado | Certo,e,2018,,2,Certo,Errado
42,Q13079,"Considerando o fragmento de texto precedente e as competências e habilidades propostas pelos PCNEM, julgue o seguinte item.O texto apresentado poderia ser usado pelo professor de língua portuguesa para desenvolver a habilidade de articular as redes de diferenças e semelhanças entre língua oral e escrita e seus códigos sociais de acordo com os variados contextos linguísticos.",Errado | Certo,c,2018,,2,Certo,Errado
43,Q13081,"Com relação às ideias do texto 11A3AAA, julgue o item que se segue.
Seu Borjalino foi penalizado com tantas advertências por seu diretor na Prefeitura de Macajuba, com relação à pontuação, que acabou perdendo o emprego.",Errado | Certo,e,2018,,2,Certo,Errado
44,Q13082,"Com relação às ideias e à textualidade do texto 11A3CCC, julgue o seguinte item.
Infere-se do texto que seu autor preferiria ter sido professor de Literatura Brasileira a professor de Língua Portuguesa.",Errado | Certo,e,2018,,2,Certo,Errado
45,Q13083,"Com relação aos aspectos linguísticos do texto 11A3AAA, julgue o item seguinte.
Na linha 27, o pronome possessivo “sua” refere-se à expressão “o contribuinte”.",Errado | Certo,e,2018,,2,Certo,Errado
49,Q14193,"Com relação aos sentidos e aos aspectos gramaticais do texto apresentado, julgue os itens a seguir.
No texto, a forma verbal “acomete"" (R.2) está empregada com o significado de afetar, contagiar.",Errado | Certo,c,2018,,2,Certo,Errado
50,Q14194,"Acerca das propriedades linguísticas do texto precedente, julgue os itens subsequentes.
O texto apresentado combina elementos das tipologias expositiva e injuntiva.",Errado | Certo,c,2018,,2,Certo,Errado
51,Q14196,"A respeito dos aspectos linguísticos do texto CB2A1AAA, julgue os seguintes itens.Os sentidos originais do texto seriam alterados caso, na linha 28, a palavra “certas” fosse deslocada para imediatamente após “pessoas”.",Errado | Certo,c,2018,,2,Certo,Errado
54,Q17502,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue os itens que se seguem.
Caso se isolasse por vírgulas o trecho “que, em Deodoro, quis matar a ex-noiva e suicidou-se em seguida” (R. 1 e 2), seria pertinente inferir que o autor se referisse a um rapaz já anteriormente mencionado, ou conhecido do interlocutor.",Errado | Certo,c,2018,,2,Certo,Errado
55,Q17503,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue os itens que se seguem.
O vocábulo “valentona” (R.27) foi empregado em referência a “mulher” (R.28).",Errado | Certo,e,2018,,2,Certo,Errado
