,text,question_id,is_correct,has_image_alt,alternative,answer_image
11510,"“também”, no trecho“ Há também quem caracterize a história como uma ciência da mudança no tempo”.",2303,0,0,a,
11511,"“tempo”, no trecho “Além disso, se ao longo do tempo se destacam as alterações cumulativas de fatos e ocorrências, não é difícil notar”.",2303,0,0,b,
11512,"“lista”, no trecho “Nessa lista seria possível mencionar os racismos”.",2303,1,0,c,
11513,"“processo”, no trecho “Desigualdade não é uma contingência (...) , tampouco uma decorrência natural e mutável de um processo que não nos diz respeito”.",2303,0,0,d,
11514,"“alertas”, no trecho “Prefiro apostar nos alertas que nós mesmos somos capazes de identificar”.",2303,0,0,e,
11515,forma de evitar o desaparecimento de informações importantes que não deveriam ser esquecidas ou perdidas.,2304,1,0,a,
11516,"manifestação efêmera, que podia ser registrada, depois apagada e, mais tarde, recuperada pela reescrita.",2304,0,0,b,
11517,"tecnologia ambígua, pois é capaz de, ao mesmo tempo, preservar informações úteis e contribuir para a disseminação de textos inúteis.",2304,0,0,c,
11518,"atividade que transforma escritos em arquivos, garantindo, assim, a integridade das informações frente às inconstâncias da história.",2304,0,0,d,
11519,"invenção da primeira fase da modernidade, voltada a manter vivas as memórias sociais e culturais.",2304,0,0,e,
11520,"Não há por que negar que a fala será mais antiga que a escrita e que esta lhe seria posterior e, nesse sentido, dependente.",2305,0,0,a,
11521,"Não há por que negar que a fala é mais antiga do que a escrita e que a fala é posterior à ela e, em certo sentido, dependente.",2305,0,0,b,
11522,"Não há razão para negar que a fala é mais antiga que a escrita e que essa última é posterior e, em certo sentido, dependente da primeira.",2305,1,0,c,
11523,"Não tem por que negar que a fala é mais que a escrita e que esta lhe é posterior e, em sentido certo, dependente.",2305,0,0,d,
11524,"Não se pode negar de que a fala é mais antiga que a escrita e de que esta lhe é posterior e, em certo sentido, dependente.",2305,0,0,e,
11525,"A correção gramatical do texto seria mantida se a expressão “foram registrados"" (R.7)  fosse substituída por registrou-se.",2306,0,0,a,
11526,"O vocábulo “deles"" (R.4)  remete à expressão “dez acidentes"" (R.3) .",2306,1,0,b,
11527,"A substituição do termo “que"" (R.11)  por o qual prejudicaria a correção gramatical do texto.",2306,0,0,c,
11528,"A correção gramatical do texto seria preservada caso se substituísse a forma verbal “Foram"" (R.3)  por Houveram.",2306,0,0,d,
11529,O sentido do segundo período do segundo parágrafo seria preservado caso as vírgulas que sucedem as palavras “desastre” (R.11)  e “novembro” (R.12)  fossem suprimidas.,2306,0,0,e,
11530,“chantagem de um superior sobre um subordinado” (R. 19 e 20) .,2307,0,0,a,
11531,“queixas de assédio” (R.15) .,2307,0,0,b,
11532,‘por medo de serem culpabilizadas’ (R.12) .,2307,0,0,c,
11533,“mais e mais casos de assédio sexual ” (R. 1 e 2) .,2307,1,0,d,
11534,‘mais protegidas para falar’ (R. 17 e 18) .,2307,0,0,e,
11535,uma vez que.,2308,1,0,a,
11536,logo que.,2308,0,0,b,
11537,a fim de que.,2308,0,0,c,
11538,ainda que.,2308,0,0,d,
11539,contanto que.,2308,0,0,e,
11540,porquanto incomoda.,2309,1,0,a,
11541,à medida que incomoda.,2309,0,0,b,
11542,a par de incomodar.,2309,0,0,c,
11543,consoante incomode.,2309,0,0,d,
11544,uma vez que incomode.,2309,0,0,e,
11545,"Infere-se do texto que seu autor considera a greve um crime moral, um delito contra a natureza do mundo e da sociedade.",2310,0,0,a,
11546,"Argumenta-se, no texto, em favor de uma lógica natural que explique a articulação das tensões sociais que a greve manifesta.",2310,0,0,b,
11547,Conclui-se do texto que a intolerância com relação à greve advém da ignorância da complexidade de seus efeitos sobre os membros de uma sociedade.,2310,1,0,c,
11548,"De acordo com o texto, a percepção do senso comum sobre a burguesia é a de que esta é uma classe social cujos membros são caracterizados pelo comportamento tirânico e dominador.",2310,0,0,d,
11549,Infere-se do texto que é inadequada a aplicação do pensamento racional à compreensão das relações sociais.,2310,0,0,e,
11550,"Nos trechos “chega o correio” (l.1) , “Fecha a casa” (l.14)  e “espera surpresa” (l.15) , os elementos “correio”, “casa” e “surpresa” exercem a mesma função sintática.",2311,0,0,a,
11551,"A mensagem da corrente apresenta-se em forma de citação no interior do conto, da linha 2 à linha 11. c) Nas linhas 12 e 13, é apresentada a conclusão da mensagem da corrente.",2311,0,0,b,
11552,"Nas linhas 12 e 13, é apresentada a conclusão da mensagem da corrente.",2311,0,0,c,
11553,"O texto desenvolve-se, predominantemente, com base em relações de causa e consequência.",2311,1,0,d,
11554,Na corrente predomina o uso de construções passivas para caracterizar os infortúnios decorrentes do descumprimento da mensagem.,2311,0,0,e,
11555,processos necessários à construção de registros duradouros dos estímulos recebidos pelo cérebro a cada momento.,2312,0,0,a,
11556,dados necessários para que o cérebro construa uma imagem do indivíduo e do ambiente que o cerca.,2312,0,0,b,
11557,"atividades internas desempenhadas pelo cérebro, ao mesmo tempo que este recebe estímulos externos.",2312,1,0,c,
11558,"estímulos advindos do cérebro de um indivíduo, imprescindíveis para a formação de novas memórias.",2312,0,0,d,
11559,ações cerebrais cujo funcionamento depende do processamento conjunto de estímulos externos.,2312,0,0,e,
11560,"“disciplina” e “ciência” (primeiro parágrafo: “A história é uma disciplina definida por sua capacidade de lembrar. Poucos se lembram, porém, de como ela é capaz de esquecer. Há também quem caracterize a história como uma ciência da mudança no tempo, e quase ninguém aponta sua genuína capacidade de reiteração.”) .",2313,0,0,a,
11561,"“mudança” e “reiteração” (primeiro parágrafo: “A história é uma disciplina definida por sua capacidade de lembrar. Poucos se lembram, porém, de como ela é capaz de esquecer. Há também quem caracterize a história como uma ciência da mudança no tempo, e quase ninguém aponta sua genuína capacidade de reiteração.”) .",2313,1,0,b,
11562,"“ao longo do tempo” e “alterações cumulativas” (segundo parágrafo: “A história brasileira não escapa dessas ambiguidades fundamentais: ela é feita do encadeamento de eventos que se acumulam e evocam alterações substanciais, mas também anda repleta de lacunas, invisibilidades e esquecimentos. Além disso, se ao longo do tempo se destacam as alterações cumulativas de fatos e ocorrências, não é difícil notar, também, a presença de problemas estruturais que permanecem como que inalterados e assim se repetem, vergonhosamente, na nossa história nacional.”) .",2313,0,0,c,
11563,"“contingência” e “acidente” (quarto parágrafo: “Desigualdade não é uma contingência nem um acidente qualquer, tampouco uma decorrência natural e mutável de um processo que não nos diz respeito. Ela é consequência de nossas escolhas — sociais, educacionais, políticas, culturais e institucionais —, que têm resultado em uma clara e crescente concentração dos benefícios públicos nas mãos de poucos. (...)  Quando se trata de enfrentar a desigualdade, não há saída fácil ou receita de bolo. Prefiro apostar nos alertas que nós mesmos somos capazes de identificar.”) .",2313,0,0,d,
11564,"“Desigualdade” e “concentração” (quarto parágrafo: “Desigualdade não é uma contingência nem um acidente qualquer, tampouco uma decorrência natural e mutável de um processo que não nos diz respeito. Ela é consequência de nossas escolhas — sociais, educacionais, políticas, culturais e institucionais —, que têm resultado em uma clara e crescente concentração dos benefícios públicos nas mãos de poucos. (...)  Quando se trata de enfrentar a desigualdade, não há saída fácil ou receita de bolo. Prefiro apostar nos alertas que nós mesmos somos capazes de identificar.”) .",2313,0,0,e,
11565,"do ponto de vista linguístico, fala e escrita são manifestações idênticas, não havendo diferenças entre elas nem superioridade de uma sobre a outra.",2314,0,0,a,
11566,"ao longo da história e nas diversas civilizações, identificam-se momentos de maior e de menor valorização da língua escrita.",2314,0,0,b,
11567,"em sociedades letradas, a comunicação por meio da escrita supera a comunicação por meio da fala.",2314,0,0,c,
11568,"o desenvolvimento da fala e o surgimento da escrita são eventos que, sob o enfoque histórico, se deram exatamente nessa ordem.",2314,1,0,d,
11569,há uma ideologia compartilhada pelas sociedades contemporâneas de associar a escrita a uma manifestação superior à fala.,2314,0,0,e,
11570,"Teoricamente, se um colega constrange o outro, há vantagem sexual, o que pode causar reparação por dano moral.",2315,0,0,a,
11571,"Em tese, embora não seja crime, o fato de um colega constranger o outro pode justificar reparação por dano moral.",2315,1,0,b,
11572,"Quando um colega molesta o outro é crime, ou seja, esse ato pode ensejar reparação por dano moral.",2315,0,0,c,
11573,"Caso um colega constrange o outro, em tese, não é crime, mas pode gerar reparação por dano moral.",2315,0,0,d,
11574,"Hipoteticamente, à medida que um colega constrange o outro, não há crime, logo não pode haver reparação por dano moral.",2315,0,0,e,
11575,"Em tese, embora não seja crime, o fato de um colega constranger o outro pode justificar reparação por dano moral.",2316,1,0,a,
11576,"Quando um colega molesta o outro é crime, ou seja, esse ato pode ensejar reparação por dano moral.",2316,0,0,b,
11577,"Caso um colega constrange o outro, em tese, não é crime, mas pode gerar reparação por dano moral.",2316,0,0,c,
11578,"Hipoteticamente, à medida que um colega constrange o outro, não há crime, logo não pode haver reparação por dano moral.",2316,0,0,d,
11579,"Teoricamente, se um colega constrange o outro, há vantagem sexual, o que pode causar reparação por dano moral.",2316,0,0,e,
11580,a continuidade de uma ação ocorrida no passado.,2317,0,0,a,
11581,a concomitância de uma ação em relação a outra.,2317,0,0,b,
11582,o resultado presente de ação ocorrida no passado.,2317,0,0,c,
11583,o ponto inicial de ação ocorrida no passado.,2317,0,0,d,
11584,a anterioridade de uma ação em relação a outra.,2317,1,0,e,
11585,Nenhum item está certo.,2318,0,0,a,
11586,Apenas o item III está certo.,2318,1,0,b,
11587,Apenas o item IV está certo.,2318,0,0,c,
11588,Apenas os itens I e II estão certos.,2318,0,0,d,
11589,Todos os itens estão certos.,2318,0,0,e,
11590,descritiva.,2319,0,0,a,
11591,expositiva.,2319,1,0,b,
11592,narrativa.,2319,0,0,c,
11593,prescritiva.,2319,0,0,d,
11594,argumentativa.,2319,0,0,e,
11595,“a memória”.,2320,0,0,a,
11596,“seletiva”.,2320,1,0,b,
11597,“um funil poderoso”.,2320,0,0,c,
11598,“O que faz com que a memória se torne seletiva”.,2320,0,0,d,
11599,“o mundo atual”.,2320,0,0,e,
11600,modificar o modo como os leitores lidam com os dados provenientes do mundo exterior.,2321,0,0,a,
11601,provocar os leitores a refletir sobre os processos de recepção de estímulos e formação de memórias.,2321,1,0,b,
11602,"apontar a impossibilidade de o cérebro, ao mesmo tempo, processar estímulos e registrá-los na memória.",2321,0,0,c,
11603,menosprezar os leitores que acreditam ser possível se lembrar de tudo o que lhes ocorre.,2321,0,0,d,
11604,obter diretamente dos leitores respostas honestas à indagação proposta.,2321,0,0,e,
11605,‘revoltante’ (l.5) .,2322,0,0,a,
11606,“Carlos X” (l.15) .,2322,1,0,b,
11607,“sim” (l.30) .,2322,0,0,c,
11608,“fundada” (l.31) .,2322,0,0,d,
11609,“acontecimentos” (l.36) .,2322,0,0,e,
